club,colour,fill
City of Southend On Sea AC,black,red
Orion Harriers,red,white
Colchester Harriers AC,green,black
Brentwood Beagles Athletics Club,blue,red
Braintree & District AC,red,yellow
Havering Athletic Club,blue,yellow
Sutton & District AC,navy,orange
Basildon AC,yellow,darkblue
Benfleet RC,white,red
Chelmsford AC,lightgreen,yellow
Witham RC,yellow,black
Tonbridge AC,white,navy
Leigh-on-Sea Striders,royalblue,white
Ilford AC,white,lightblue
Thurrock Harriers,white,red
Springfield Striders RC,white,yellow
Pitsea RC,black,lightblue
Colchester & Tendring AC,black,white
Brentwood Running Club,green,white
East Essex Triathlon Club,royalblue,yellow
South Woodham Runners,darkslateblue,yellow
Billericay Striders,yellow,royalblue
Loughton AC,purple3,white
Grange Farm & Dunmow Runners,dodgerblue3,white
Dengie 100 Runners,green,white
Castle Point Joggers,white,blue
Mid Essex Casuals,whitesmoke,grey
Tiptree Road Runners,red,black
Phoenix Striders,navy,white
Halstead RRC,yellow,black
Harlow Running and Tri Club,steelblue,red
Daws Heath Harriers,chartreuse1,white
Dagenham 88 Runners,white,red
Hockley Trail Runners,green,black